listing_id,city,location_name,latitude,longitude,property_type,price_ksh,bedrooms,bathrooms,area_size_sqm,availability_status,available_from,amenities,date_listed,image_url
HM00001,Mombasa,Nyali,-4.02326,39.666938,Maisonette,60000,3,2,132,Vacant,2025-09-12,"Balcony, Parking, Pool, Gym, Furnished, Security",2025-07-23,https://example.com/images/HM00001.jpg
HM00002,Mombasa,Mtwapa,-4.072105,39.711487,Studio,33790,1,1,73,Vacant,2025-09-12,"Water, Balcony",2025-06-11,https://example.com/images/HM00002.jpg
HM00003,Nairobi,Lavington,-1.205134,36.787221,Apartment,66744,2,2,82,Vacant,2025-09-12,"Gym, Pool",2025-04-16,https://example.com/images/HM00003.jpg
HM00004,Eldoret,Langas,0.499456,35.28225,Townhouse,35000,2,2,96,Vacant,2025-09-12,"Parking, Electricity",2025-05-29,https://example.com/images/HM00004.jpg
HM00005,Eldoret,Kapsoya,0.593978,35.291814,Bungalow,21001,2,2,83,Vacant,2025-09-12,"Furnished, Water, Electricity, CCTV",2025-07-12,https://example.com/images/HM00005.jpg
HM00006,Nairobi,Dagoretti,-1.293646,36.785128,Apartment,23269,2,2,80,Vacant,2025-09-12,"Electricity, Security",2025-05-09,https://example.com/images/HM00006.jpg
HM00007,Kisumu,Kong'onyo,-0.060379,34.785,Maisonette,21691,2,2,95,Vacant,2025-09-12,"Balcony, CCTV, Security, Furnished, Pool, WiFi",2025-07-20,https://example.com/images/HM00007.jpg
HM00008,Nairobi,Kilimani,-1.216668,36.755983,Maisonette,83057,3,2,79,Vacant,2025-09-12,"Gym, Pool, WiFi, CCTV, Parking, Security",2025-09-06,https://example.com/images/HM00008.jpg
HM00009,Nakuru,Kapkures,-0.25314,36.073812,Bedsitter,21347,0,1,32,Vacant,2025-09-12,"Pool, Water, Furnished, Balcony",2025-08-23,https://example.com/images/HM00009.jpg
HM00010,Nairobi,Dagoretti,-1.246924,36.755983,Maisonette,120000,2,2,93,Available_from,2025-10-23,"Gym, Parking, Furnished, Water",2025-06-02,https://example.com/images/HM00010.jpg
HM00011,Nairobi,Lavington,-1.214639,36.890981,Apartment,120000,3,2,123,Vacant,2025-09-12,"Water, Gym, CCTV",2025-05-22,https://example.com/images/HM00011.jpg
HM00012,Mombasa,Mtwapa,-4.051918,39.663298,Studio,53576,1,1,57,Occupied,2026-01-22,"Gym, Pool, CCTV, Parking",2025-05-18,https://example.com/images/HM00012.jpg
HM00013,Nairobi,Eastleigh,-1.317476,36.824167,Studio,43205,1,1,49,Occupied,2025-10-27,"Furnished, Parking, Security",2025-04-03,https://example.com/images/HM00013.jpg
HM00014,Mombasa,Mvita,-4.029792,39.663566,Maisonette,60000,3,2,111,Vacant,2025-09-12,"Balcony, Electricity, Furnished, Parking, Security",2025-07-04,https://example.com/images/HM00014.jpg
HM00015,Nairobi,Ngong Road,-1.263957,36.853943,Townhouse,115988,3,2,78,Vacant,2025-09-12,"Furnished, Electricity, Pool, CCTV",2025-07-31,https://example.com/images/HM00015.jpg
HM00016,Nairobi,Ngong Road,-1.297981,36.808647,Apartment,120000,2,2,95,Vacant,2025-09-12,"Parking, Furnished, Electricity, Pool, Gym, Security",2025-07-17,https://example.com/images/HM00016.jpg
HM00017,Nairobi,Ngong Road,-1.211707,36.757988,Apartment,65697,4,3,148,Vacant,2025-09-12,"Gym, Water, Electricity, Pool, Furnished, Parking",2025-08-11,https://example.com/images/HM00017.jpg
HM00018,Kisumu,Milimani,-0.072682,34.744002,Studio,29059,1,1,78,Vacant,2025-09-12,"Furnished, Water, CCTV, WiFi, Parking, Gym",2025-06-27,https://example.com/images/HM00018.jpg
HM00019,Nairobi,Parklands,-1.290454,36.831068,Studio,26756,1,1,82,Vacant,2025-09-12,"WiFi, Electricity, Security, Furnished",2025-05-22,https://example.com/images/HM00019.jpg
HM00020,Nairobi,South C,-1.265133,36.887933,Apartment,90917,1,1,81,Available_from,2025-09-19,"Electricity, Pool, WiFi, Furnished, Water, Parking",2025-05-17,https://example.com/images/HM00020.jpg
HM00021,Nairobi,Kileleshwa,-1.267418,36.822347,Bedsitter,79226,0,1,34,Vacant,2025-09-12,"WiFi, Furnished, Water, Gym, Parking, Security",2025-08-04,https://example.com/images/HM00021.jpg
HM00022,Nairobi,South C,-1.24742,36.851994,Maisonette,120000,3,2,107,Vacant,2025-09-12,"Furnished, Balcony",2025-05-25,https://example.com/images/HM00022.jpg
HM00023,Nairobi,Eastleigh,-1.227466,36.838309,Bedsitter,31966,0,1,32,Vacant,2025-09-12,"Pool, Parking, Furnished, CCTV, Security",2025-04-23,https://example.com/images/HM00023.jpg
HM00024,Mombasa,Shanzu,-4.056771,39.700778,Bungalow,27233,1,1,47,Occupied,2025-12-04,"Furnished, Security, Balcony",2025-08-21,https://example.com/images/HM00024.jpg
HM00025,Kisumu,Kondele,-0.062185,34.808334,Maisonette,12483,3,2,122,Available_from,2025-11-04,"Electricity, WiFi, Water, Balcony, Security",2025-04-12,https://example.com/images/HM00025.jpg
HM00026,Nairobi,Kilimani,-1.216969,36.767814,Bungalow,120000,2,2,74,Vacant,2025-09-12,"Balcony, Security, WiFi",2025-04-02,https://example.com/images/HM00026.jpg
HM00027,Eldoret,Riat,0.532138,35.306035,Townhouse,33043,4,3,93,Vacant,2025-09-12,"Water, WiFi, Parking, Gym",2025-08-15,https://example.com/images/HM00027.jpg
HM00028,Nairobi,Eastleigh,-1.267633,36.89732,Apartment,95686,2,2,76,Vacant,2025-09-12,"Parking, Pool, Electricity, Water, Gym",2025-04-02,https://example.com/images/HM00028.jpg
HM00029,Eldoret,Riat,0.564779,35.322973,Apartment,20593,3,2,94,Vacant,2025-09-12,"Balcony, WiFi, Water, Furnished",2025-07-01,https://example.com/images/HM00029.jpg
HM00030,Kisumu,Kong'onyo,-0.079041,34.803196,Studio,32931,1,1,70,Vacant,2025-09-12,"WiFi, CCTV",2025-05-08,https://example.com/images/HM00030.jpg
HM00031,Nairobi,Parklands,-1.247201,36.784782,Bungalow,47422,2,2,90,Occupied,2025-11-24,"WiFi, Pool",2025-09-01,https://example.com/images/HM00031.jpg
HM00032,Mombasa,Mvita,-4.081595,39.74472,Maisonette,27553,3,2,87,Vacant,2025-09-12,"Electricity, Gym",2025-08-19,https://example.com/images/HM00032.jpg
HM00033,Nakuru,Milimani,-0.284458,36.11203,Studio,15205,1,1,69,Vacant,2025-09-12,"Water, Parking, Furnished",2025-07-02,https://example.com/images/HM00033.jpg
HM00034,Nairobi,Dagoretti,-1.264254,36.824759,Apartment,120000,2,2,102,Vacant,2025-09-12,"CCTV, Security, Gym, WiFi, Pool, Balcony",2025-07-03,https://example.com/images/HM00034.jpg
HM00035,Nakuru,Mwariki,-0.285409,36.061141,Bungalow,40000,2,2,100,Vacant,2025-09-12,"Gym, Electricity, WiFi, Pool, Parking, Water",2025-05-15,https://example.com/images/HM00035.jpg
HM00036,Nairobi,Eastleigh,-1.212837,36.743698,Maisonette,111295,2,2,105,Vacant,2025-09-12,"Balcony, Security, Gym, Electricity, Parking",2025-05-07,https://example.com/images/HM00036.jpg
HM00037,Nakuru,Kivumbini,-0.239516,36.090886,Townhouse,40000,1,1,81,Vacant,2025-09-12,"Security, WiFi",2025-06-23,https://example.com/images/HM00037.jpg
HM00038,Nakuru,Kivumbini,-0.276178,36.101424,Studio,40000,1,1,76,Vacant,2025-09-12,"Gym, Parking, Balcony, Water, Security",2025-09-05,https://example.com/images/HM00038.jpg
HM00039,Nakuru,Rhoda,-0.245949,36.114368,Studio,27909,1,1,70,Vacant,2025-09-12,"Furnished, Balcony",2025-04-19,https://example.com/images/HM00039.jpg
HM00040,Nakuru,Rhoda,-0.324972,36.076537,Maisonette,22974,2,2,84,Vacant,2025-09-12,"WiFi, Furnished, Gym, Parking, Security",2025-08-01,https://example.com/images/HM00040.jpg
